Year,Location,Cement (SAR/ton),Steel (SAR/ton),Concrete (SAR/m3),Blocks (SAR/1000),Tiles (SAR/m2),Paint (SAR/m2),Glass (SAR/m2),Wood (SAR/m2),Labor (SAR/hour),Equipment (SAR/day)
2023,Riyadh,270,2600,250,1800,450,140,500,1200,60,1500
2023,Jeddah,280,2650,260,1850,460,145,520,1250,58,1450
2023,Dammam,260,2500,240,1750,440,130,480,1100,56,1400
2023,Dubai,300,3100,280,2100,500,150,600,1300,70,1800
2024,Riyadh,290,2800,270,1900,500,150,550,1300,65,1600
2024,Jeddah,300,2850,280,1950,520,155,580,1350,63,1550
2024,Dammam,280,2650,260,1850,480,140,520,1200,61,1500
2024,Dubai,320,3300,300,2200,550,160,650,1400,75,1900
2025,Riyadh,310,3000,290,2000,550,160,600,1400,70,1700
2025,Jeddah,320,3100,300,2050,570,170,620,1450,68,1650
2025,Dammam,300,2900,280,1950,520,150,560,1300,66,1600
2025,Dubai,340,3500,320,2300,600,170,700,1500,80,2000
